제품코드,제품명,공정,설비코드,매당_설비분,매당_인시분
A3E009-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E00D-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A3E00M-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E00T-SM,TEL CEL,Hole,M_HOLE-01,37.64,1.5
A3E00T-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E00Z-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E015-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A3E038-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E039-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E042-SH,TEL CEL,Hole,M_HOLE-01,16.98333333,1.5
A3E054-SL,TEL CEL,Hole,M_HOLE-01,93.38333334,1.5
A3E084-SL,TEL CEL,Hole,M_HOLE-01,119,1.5
A3E09F-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E09G-SM,TEL CEL,Hole,M_HOLE-01,37.64189372,1.5
A3E0PJ-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A3E121-SL,TEL CEL,Hole,M_HOLE-01,125.1,1.5
A3E155-SL,TEL CEL,Hole,M_HOLE-01,126.1,1.5
A3E156-SL,TEL CEL,Hole,M_HOLE-01,126.35,1.5
A3E157-SL,TEL CEL,Hole,M_HOLE-01,126.1,1.5
A3E158-SL,TEL CEL,Hole,M_HOLE-01,126.0666667,1.5
A3E160-SL,TEL CEL,Hole,M_HOLE-01,128.3833333,1.5
A3E161-SL,TEL CEL,Hole,M_HOLE-01,126.6,1.5
A4E001-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E003-SM,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E004-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E007-SM,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E008-SM,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E011-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E031-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E043-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E053-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E054-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E060-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E067-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E076-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E078-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E087-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E088-SM,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E089-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E100-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E109-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E110-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E111-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E112-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E114-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E115-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E117-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E118-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E119-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E120-SL,TEL CEL,Hole,M_HOLE-01,513.4740374,1.5
A4E121-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E122-SL,TEL CEL,Hole,M_HOLE-01,513.4740374,1.5
A4E124-SM,TEL CEL,Hole,M_HOLE-01,77.93802354,1.5
A4E125-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E126-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E127-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E128-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E129-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E130-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E131-SM,TEL CEL,Hole,M_HOLE-01,112.4430928,1.5
A4E132-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E133-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E135-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E136-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E137-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E138-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E139-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E140-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E141-SL,TEL CEL,Hole,M_HOLE-01,120,1.5
A4E142-SL,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E143-SL,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E143-SM,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E144-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E145-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E147-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E148-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E150-SL,TEL CEL,Hole,M_HOLE-01,288.829146,1.5
A4E151-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E152-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E153-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E154-SL,TEL CEL,Hole,M_HOLE-01,240,1.5
A4E155-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E159-SL,TEL CEL,Hole,M_HOLE-01,90,1.5
A4E160-SL,TEL CEL,Hole,M_HOLE-01,128.5063917,1.5
A4E161-SL,TEL CEL,Hole,M_HOLE-01,128.5063917,1.5
A4E162-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E163-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E164-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E172-SL,TEL CEL,Hole,M_HOLE-01,256.7370187,1.5
A4E176-SL,TEL CEL,Hole,M_HOLE-01,380.2796443,1.5
A4E177-SL,TEL CEL,Hole,M_HOLE-01,380.2796443,1.5
A4E178-SL,TEL CEL,Hole,M_HOLE-01,380.2796443,1.5
A4E179-SL,TEL CEL,Hole,M_HOLE-01,380.2796443,1.5
A4E385-SL,TEL CEL,Hole,M_HOLE-01,162.4166667,1.5
A4E623-SL,TEL CEL,Hole,M_HOLE-01,258.65,1.5
A4E624-SL,TEL CEL,Hole,M_HOLE-01,189.4166667,1.5
A4E625-SL,TEL CEL,Hole,M_HOLE-01,164.45,1.5
B3E076-SM,Bush CEL,Hole,M_HOLE-01,37.64189372,1.5
B3E078-SM,Bush CEL,Hole,M_HOLE-01,35.98730499,1.5
B3E079-SM,Bush CEL,Hole,M_HOLE-01,112.9256812,1.5
B3E080-SM,Bush CEL,Hole,M_HOLE-01,112.9256812,1.5
B3E081-SM,Bush CEL,Hole,M_HOLE-01,37.64189372,1.5
B3E082-SM,Bush CEL,Hole,M_HOLE-01,56.46284058,1.5
B3E083-SM,Bush CEL,Hole,M_HOLE-01,131.746628,1.5
B3E084-SM,Bush CEL,Hole,M_HOLE-01,91.41602761,1.5
B3E085-SM,Bush CEL,Hole,M_HOLE-01,37.64189372,1.5
B3E176-SM,Bush CEL,Hole,M_HOLE-01,57.4,1.5
B3E205-SM,Bush CEL,Hole,M_HOLE-01,58.18333335,1.5
C3E01S-SH,LAM CEL,Hole,M_HOLE-01,59.33333334,1.5
C4E01A-SH,LAM CEL,Hole,M_HOLE-01,200,1.5
C4E0UX-SH,LAM CEL,Hole,M_HOLE-01,180,1.5
D3E001-SM,LAM CEL,Hole,M_HOLE-01,188.2094686,1.5
D3E033-SM,LAM CEL,Hole,M_HOLE-01,112.9256812,1.5
D3E034-SM,LAM CEL,Hole,M_HOLE-01,112.9256812,1.5
D3E071-SM,LAM CEL,Hole,M_HOLE-01,114.5802699,1.5
D3E072-SM,LAM CEL,Hole,M_HOLE-01,116.2348586,1.5
D3E139-SM,LAM CEL,Hole,M_HOLE-01,51.91666667,1.5
D3E140-SM,LAM CEL,Hole,M_HOLE-01,89.83333333,1.5
D3Y00A-SH,Bush CEL,Hole,M_HOLE-01,6.273648953,1.5
D3Y0QA-SH,Bush CEL,Hole,M_HOLE-01,23.90536016,1.5
E3E003-SL,LAM CEL,Hole,M_HOLE-01,70,1.5
E3E004-SL,LAM CEL,Hole,M_HOLE-01,70,1.5
E3E006-SL,LAM CEL,Hole,M_HOLE-01,90,1.5
E3E009-SL,LAM CEL,Hole,M_HOLE-01,90,1.5
E3E010-SL,LAM CEL,Hole,M_HOLE-01,90,1.5
E3E011-SL,LAM CEL,Hole,M_HOLE-01,90,1.5
E3E012-SL,LAM CEL,Hole,M_HOLE-01,90,1.5
E3E022-SL,LAM CEL,Hole,M_HOLE-01,87.53333334,1.5
E3E022-SL,LAM CEL,Hole,M_HOLE-01,110.3333333,1.5
Z3E00F-SH,LAM CEL,Hole,M_HOLE-01,27.88333333,1.5
Z3E00F-SH,LAM CEL,Hole,M_HOLE-01,28.25,1.5
A3E009-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E00D-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A3E00M-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E00S-SH,TEL CEL,Hole,Q_HOLE-01,16.71666667,1.5
A3E00T-SM,TEL CEL,Hole,Q_HOLE-01,18.99,1.5
A3E00T-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E00Z-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E015-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A3E038-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E039-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E040-SM,TEL CEL,Hole,Q_HOLE-01,23.53333333,1.5
A3E084-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A3E09F-SM,TEL CEL,Hole,Q_HOLE-01,18.99291171,1.5
A3E09G-SM,TEL CEL,Hole,Q_HOLE-01,9.416666668,1.5
A3E09H-SM,TEL CEL,Hole,Q_HOLE-01,13.25,1.5
A3E0PG-SM,TEL CEL,Hole,Q_HOLE-01,7.099999994,1.5
A3E0PJ-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A3E121-SL,TEL CEL,Hole,Q_HOLE-01,62.55,1.5
A4E001-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E003-SM,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E004-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E007-SM,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E008-SM,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E011-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E031-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E043-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E053-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E054-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E060-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E067-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E076-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E078-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E087-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E088-SM,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E089-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E100-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E109-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E110-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E111-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E112-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E114-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E115-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E117-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E118-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E119-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E120-SL,TEL CEL,Hole,Q_HOLE-01,259.0827956,1.5
A4E121-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E122-SL,TEL CEL,Hole,Q_HOLE-01,259.0827956,1.5
A4E124-SM,TEL CEL,Hole,Q_HOLE-01,39.32506719,1.5
A4E125-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E126-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E127-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E128-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E129-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E130-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E131-SM,TEL CEL,Hole,Q_HOLE-01,56.73523626,1.5
A4E132-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E133-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E135-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E136-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E137-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E138-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E139-SL,TEL CEL,Hole,Q_HOLE-01,120,1.5
A4E140-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E141-SL,TEL CEL,Hole,Q_HOLE-01,60,1.5
A4E142-SL,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E143-SL,TEL CEL,Hole,Q_HOLE-01,45,1.5
A4E143-SM,TEL CEL,Hole,Q_HOLE-01,45,1.5
